blad;sidor;format;yta_m2;banor;fil_kB;vagg_s;cpu_s;minne_MB;utdata_MB;fragor;fragetecken;skala;namn_med_meter;cpu_kr;llm_kr;lagring_kr;kr
SJÄLVSTYRELSEGÅRDEN|V-500-1-010-100.pdf;1;A1;0.5;61757;709;502.2;504.1;394.0;18.8;0;0;CONFLICT;0;0.1439;0.0;0.0565;0.2
test|V-50-1-A0112.pdf;1;A1;0.5;12686;366;20.5;21.6;239.0;9.9;3;2760;VERIFIED;30;0.0062;0.158;0.0296;0.194
z|2|V-50-1-A0123.pdf;1;A1;0.5;13123;366;20.0;21.3;242.0;9.9;3;2809;VERIFIED;25;0.0061;0.158;0.0298;0.194
V-50-1-A0312;1;A1;0.5;13938;596;17.1;18.3;242.0;9.5;3;2597;VERIFIED;16;0.0052;0.157;0.0285;0.191
src|00 - skalstockar|V-50-1-A0001.pdf;1;A1;0.5;18995;463;43.0;44.1;261.0;7.0;3;2618;TEXT_ONLY;5;0.0126;0.157;0.021;0.191
Priorn|V-50-1-A0001.pdf;1;A1;0.5;18995;397;42.5;42.3;260.0;7.0;3;2618;TEXT_ONLY;5;0.0121;0.157;0.0209;0.19
Priorn|V-50-1-A0202.pdf;1;A1;0.5;17543;377;47.6;47.7;256.0;6.4;3;2621;TEXT_ONLY;6;0.0136;0.157;0.0191;0.19
z|13|1760291_1.pdf;1;A1;0.5;16753;465;19.9;21.3;249.0;9.1;3;2426;VERIFIED;12;0.0061;0.156;0.0274;0.19
V-50-1-A0421;1;A1;0.5;10776;427;14.2;15.3;233.0;8.7;3;2578;VERIFIED;10;0.0044;0.157;0.0261;0.187
Rundstickan|V-52-1-A0122.pdf;1;A1;0.5;20177;414;21.7;22.7;265.0;8.1;3;2520;VERIFIED;9;0.0065;0.157;0.0243;0.187
test|V-50-1-A0421.pdf;1;A1;0.5;10674;348;14.2;15.1;233.0;8.1;3;2578;VERIFIED;10;0.0043;0.157;0.0243;0.186
test|V-50-1-A0312.pdf;1;A1;0.5;13518;317;15.4;16.5;241.0;7.7;3;2597;VERIFIED;16;0.0047;0.157;0.023;0.185
Rundstickan|V-50-1-B0123.pdf;1;A1;0.5;8585;263;10.7;11.6;224.0;5.5;3;3341;VERIFIED;15;0.0033;0.161;0.0164;0.18
V-50-1-A0523;1;A1;0.5;7708;400;9.8;10.8;222.0;6.0;3;2659;VERIFIED;9;0.0031;0.157;0.0181;0.178
test|V-50-1-A0523.pdf;1;A1;0.5;7549;283;9.8;10.8;222.0;5.2;3;2659;VERIFIED;9;0.0031;0.157;0.0156;0.176
z|13|1760301_1.pdf;1;A1;0.5;7672;260;8.2;9.4;207.0;4.3;3;2445;VERIFIED;4;0.0027;0.156;0.0128;0.172
SJÄLVSTYRELSEGÅRDEN|V-570-1-010-110.pdf;1;A1;0.5;43190;1188;426.1;427.8;340.0;15.7;0;0;CONFLICT;0;0.1221;0.0;0.047;0.169
z|6|R1502-D.pdf;1;A1;0.5;26594;722;91.8;93.6;434.0;41.6;0;0;BAR_ONLY;1;0.0267;0.0;0.1249;0.152
W-50-1-A0133;1;A1;0.5;25980;508;22.5;23.8;288.0;10.8;2;1878;CONFLICT;33;0.0068;0.105;0.0323;0.145
V-50-1-A0322;1;A1;0.5;13219;611;17.4;18.5;240.0;10.3;2;1762;VERIFIED;13;0.0053;0.105;0.0308;0.141
W-50-1-A0222;1;A1;0.5;27157;501;23.7;24.9;291.0;9.4;2;1833;BAR_ONLY;20;0.0071;0.105;0.0281;0.14
V-50-1-A0422;1;A1;0.5;10122;527;14.6;15.7;233.0;9.3;2;1768;VERIFIED;13;0.0045;0.105;0.0278;0.137
SJÄLVSTYRELSEGÅRDEN|V-520-1-010-110.pdf;1;A1;0.5;22645;373;51.7;53.1;270.0;5.8;2;1740;CONFLICT;0;0.0152;0.105;0.0175;0.137
z|13|1760285_1.pdf;1;A1;0.5;18033;474;25.0;26.4;246.0;8.2;2;1621;VERIFIED;11;0.0075;0.104;0.0245;0.136
test|V-50-1-A0322.pdf;1;A1;0.5;12838;350;15.8;17.0;238.0;8.6;2;1762;VERIFIED;13;0.0049;0.105;0.0257;0.135
z|6|R1302.pdf;1;A1;0.5;30865;855;106.2;108.2;403.0;34.4;0;0;BAR_ONLY;3;0.0309;0.0;0.1032;0.134
test|V-50-1-A0422.pdf;1;A1;0.5;9837;332;14.4;15.5;231.0;7.9;2;1768;VERIFIED;13;0.0044;0.105;0.0238;0.133
z|13|1760283_1.pdf;1;A1;0.5;13188;371;17.0;18.3;229.0;7.1;2;1631;VERIFIED;5;0.0052;0.104;0.0213;0.131
z|13|1760314_1.pdf;1;A1;0.5;5707;158;8.7;9.8;196.0;8.0;2;1622;VERIFIED;1;0.0028;0.104;0.024;0.131
z|6|R1502.pdf;1;A1;0.5;25673;857;81.2;83.3;440.0;35.7;0;0;BAR_ONLY;1;0.0238;0.0;0.1071;0.131
z|13|1760316_1.pdf;1;A1;0.5;4365;151;7.4;8.5;189.0;6.8;2;1622;VERIFIED;1;0.0024;0.104;0.0203;0.127
z|13|1760286_1.pdf;1;A1;0.5;12656;348;14.7;15.9;224.0;5.5;2;1630;VERIFIED;6;0.0045;0.104;0.0166;0.125
V-50-1-A0511;1;A1;0.5;9225;358;10.1;11.1;226.0;5.5;2;1740;VERIFIED;8;0.0032;0.105;0.0164;0.124
S3_25.pdf;1;A1;0.5;11549;231;12.1;12.9;224.0;5.1;2;1634;VERIFIED;3;0.0037;0.104;0.0153;0.123
test|V-50-1-A0511.pdf;1;A1;0.5;9129;283;10.2;11.2;226.0;4.9;2;1740;VERIFIED;8;0.0032;0.105;0.0146;0.123
z|13|1760313_1.pdf;1;A1;0.5;7229;249;9.2;10.4;204.0;4.4;2;1632;VERIFIED;8;0.003;0.104;0.0131;0.12
z|13|1760315_1.pdf;1;A1;0.5;2727;132;5.2;6.2;181.0;3.9;2;1622;VERIFIED;1;0.0018;0.104;0.0118;0.118
z|6|R1402-D.pdf;1;A1;0.5;22140;654;77.7;79.4;368.0;31.5;0;0;BAR_ONLY;2;0.0227;0.0;0.0945;0.117
Ritningar|R9UHA10-CLB001-001.pdf;1;A1;0.5;25752;392;35.3;36.6;262.0;8.5;1;924;VERIFIED;2;0.0104;0.053;0.0254;0.089
W-50-1-A0221;1;A1;0.5;27105;496;31.1;32.3;290.0;8.8;1;947;BAR_ONLY;10;0.0092;0.053;0.0263;0.088
z|13|1760284_1.pdf;1;A1;0.5;13013;362;18.3;19.6;229.0;10.3;1;802;VERIFIED;0;0.0056;0.052;0.0308;0.088
z|4|6.pdf;1;A1;0.5;24599;1875;53.8;55.3;265.0;23.3;0;0;VERIFIED;7;0.0158;0.0;0.0699;0.086
z|5|24.pdf;1;A1;0.5;14586;237;101.8;103.0;280.0;17.7;0;0;VERIFIED;1;0.0294;0.0;0.0532;0.083
z|13|1760303_1.pdf;1;A1;0.5;14491;417;17.3;18.7;238.0;8.2;1;805;VERIFIED;12;0.0053;0.052;0.0247;0.082
V-50-1-A0321;1;A1;0.5;10857;374;15.1;16.1;234.0;7.8;1;885;VERIFIED;8;0.0046;0.052;0.0233;0.08
z|13|1760297_1.pdf;1;A1;0.5;14252;419;16.1;17.5;237.0;7.8;1;805;VERIFIED;11;0.005;0.052;0.0234;0.08
z|6|R1402.pdf;1;A1;0.5;32385;916;57.1;59.1;410.0;21.1;0;0;BAR_ONLY;4;0.0169;0.0;0.0633;0.08
test|V-50-1-A0321.pdf;1;A1;0.5;10791;316;14.3;15.3;232.0;7.4;1;885;VERIFIED;8;0.0044;0.052;0.0221;0.079
D;1;A1;0.5;20873;329;23.3;24.7;281.0;6.1;1;946;BAR_ONLY;11;0.007;0.053;0.0182;0.078
test|W-50-1-AAA-0013.pdf;1;A1;0.5;20873;336;23.8;25.1;280.0;6.1;1;946;BAR_ONLY;11;0.0072;0.053;0.0184;0.078
z|9|11.pdf;1;A1;0.5;24671;376;145.8;147.2;274.0;11.3;0;0;TEXT_ONLY;22;0.042;0.0;0.034;0.076
z|13|1760292_1.pdf;1;A1;0.5;12565;366;12.1;13.4;227.0;6.3;1;816;VERIFIED;6;0.0038;0.052;0.0189;0.075
z|13|1760300_1.pdf;1;A1;0.5;11588;349;13.6;14.9;225.0;6.2;1;805;VERIFIED;10;0.0043;0.052;0.0185;0.075
z|13|1760306_1.pdf;1;A1;0.5;11241;339;14.3;15.5;223.0;6.0;1;805;VERIFIED;10;0.0044;0.052;0.0181;0.075
z|13|1760294_1.pdf;1;A1;0.5;11519;349;13.2;14.4;223.0;6.1;1;805;VERIFIED;10;0.0041;0.052;0.0182;0.074
z|13|1760304_1.pdf;1;A1;0.5;9105;297;11.9;13.1;215.0;5.6;1;816;VERIFIED;7;0.0037;0.052;0.0167;0.072
z|13|1760298_1.pdf;1;A1;0.5;9162;312;9.0;10.2;217.0;5.3;1;816;VERIFIED;4;0.0029;0.052;0.0159;0.071
z|13|1760310_1.pdf;1;A1;0.5;8484;284;11.0;12.3;211.0;5.1;1;816;VERIFIED;9;0.0035;0.052;0.0153;0.071
Rundstickan|V-50-6-B0123.pdf;1;A1;0.5;9172;270;8.8;9.9;222.0;4.5;1;930;VERIFIED;0;0.0028;0.053;0.0136;0.069
z|13|1760269_1.pdf;1;A1;0.5;5775;198;8.9;10.0;195.0;4.0;1;809;VERIFIED;3;0.0029;0.052;0.0119;0.067
z|13|1760295_1.pdf;1;A1;0.5;7439;260;10.2;11.4;207.0;3.9;1;816;VERIFIED;4;0.0033;0.052;0.0117;0.067
z|13|1760307_1.pdf;1;A1;0.5;6723;241;10.9;12.1;203.0;4.0;1;816;VERIFIED;3;0.0035;0.052;0.012;0.067
z|13|1760271_1.pdf;1;A1;0.5;3056;152;5.0;6.1;184.0;3.0;1;809;VERIFIED;4;0.0017;0.052;0.0091;0.063
src|05 - Bengt Dahlgren - Ghostscript 9.21|Löpöglan 2.pdf;1;A1;0.5;27366;878;65.2;66.5;277.0;13.5;0;0;VERIFIED;9;0.019;0.0;0.0405;0.06
SJÄLVSTYRELSEGÅRDEN|V-530-1-010-100.pdf;1;A1;0.5;51780;562;127.0;128.7;353.0;7.8;0;0;CONFLICT;0;0.0367;0.0;0.0233;0.06
z|5|9.pdf;1;A1;0.5;9489;228;24.6;25.8;247.0;16.8;0;0;VERIFIED;1;0.0074;0.0;0.0505;0.058
W-50-1-A0211;1;A1;0.5;22365;424;24.1;25.3;279.0;16.6;0;0;BAR_ONLY;9;0.0072;0.0;0.0497;0.057
W-50-1-A0213;1;A1;0.5;25774;502;25.5;26.8;286.0;12.6;0;0;BAR_ONLY;15;0.0076;0.0;0.0377;0.045
A;1;A1;0.5;25225;456;62.4;63.9;280.0;8.4;0;0;BAR_ONLY;15;0.0182;0.0;0.0253;0.044
src|04 - VVS Konsulterna - Revit - Bluebeam Brewery 5.0|V50-1-0842 - Plan B2, De;1;A1;0.5;15369;271;26.8;27.6;223.0;12.1;0;0;VERIFIED;14;0.0079;0.0;0.0362;0.044
W-50-1-A0011;1;A1;0.5;25225;456;60.7;61.9;280.0;8.4;0;0;BAR_ONLY;15;0.0177;0.0;0.0253;0.043
TOFTASKOLAN HUS B|V-50-1-020.pdf;1;A1;0.5;14159;387;62.6;63.8;243.0;8.3;0;0;VERIFIED;3;0.0182;0.0;0.0249;0.043
z|5|7.pdf;1;A1;0.5;15570;313;68.6;69.9;248.0;7.3;0;0;VERIFIED;10;0.0199;0.0;0.0219;0.042
test|W-50-1-AAA-0011.pdf;1;A1;0.5;25231;640;37.3;38.6;280.0;9.1;0;0;BAR_ONLY;13;0.011;0.0;0.0274;0.038
W-50-1-A0214;1;A1;0.5;26483;504;34.4;35.6;285.0;9.0;0;0;BAR_ONLY;7;0.0102;0.0;0.0269;0.037
z|13|1760274_1.pdf;1;A1;0.5;17717;486;20.8;22.1;248.0;10.0;0;0;VERIFIED;32;0.0063;0.0;0.0299;0.036
S2_plan09_del42.pdf;1;A1;0.5;10570;191;12.6;13.5;208.0;9.6;0;0;VERIFIED;6;0.0039;0.0;0.0289;0.033
z|13|1760279_1.pdf;1;A1;0.5;17189;444;25.4;26.8;245.0;8.3;0;0;VERIFIED;9;0.0076;0.0;0.0249;0.033
SJÄLVSTYRELSEGÅRDEN|V-520-1-010-130.pdf;1;A1;0.5;24949;378;54.0;55.4;275.0;5.3;0;0;CONFLICT;0;0.0158;0.0;0.016;0.032
SJÄLVSTYRELSEGÅRDEN|V-530-1-010-130.pdf;1;A1;0.5;24401;364;62.2;63.6;272.0;4.5;0;0;CONFLICT;0;0.0182;0.0;0.0134;0.032
z|13|1760309_1.pdf;1;A1;0.5;14023;397;18.6;19.9;236.0;8.2;0;0;VERIFIED;14;0.0057;0.0;0.0246;0.03
src|12 - video drawings|1760318_1.pdf;1;A1;0.5;8924;189;18.9;19.9;202.0;7.8;0;0;VERIFIED;1;0.0057;0.0;0.0233;0.029
z|9|78.pdf;1;A1;0.5;17369;256;58.7;59.9;233.0;4.0;0;0;VERIFIED;3;0.0171;0.0;0.012;0.029
SJÄLVSTYRELSEGÅRDEN|V-530-1-010-110.pdf;1;A1;0.5;22824;365;49.3;50.7;272.0;4.9;0;0;CONFLICT;0;0.0145;0.0;0.0146;0.029
W-50-1-A0112;1;A1;0.5;20663;414;18.5;20.0;269.0;7.3;0;0;CONFLICT;5;0.0057;0.0;0.022;0.028
